# ----------------------------------------,
# 1 Master View,
# Audience Overview,
# 20180101-20180723,
# ----------------------------------------,
,
Day Index,Bounce Rate
1/1/2018,48.65%
1/2/2018,45.84%
1/3/2018,47.35%
1/4/2018,50.71%
1/5/2018,47.29%
1/6/2018,52.28%
1/7/2018,51.20%
1/8/2018,46.33%
1/9/2018,50.52%
1/10/2018,47.74%
1/11/2018,47.45%
1/12/2018,49.19%
1/13/2018,50.22%
1/14/2018,54.33%
1/15/2018,53.16%
1/16/2018,50.00%
1/17/2018,47.80%
1/18/2018,48.72%
1/19/2018,48.15%
1/20/2018,49.58%
1/21/2018,48.36%
1/22/2018,46.32%
1/23/2018,49.51%
1/24/2018,44.93%
1/25/2018,45.49%
1/26/2018,47.07%
1/27/2018,50.34%
1/28/2018,51.47%
1/29/2018,46.45%
1/30/2018,46.21%
1/31/2018,44.31%
2/1/2018,45.60%
2/2/2018,49.48%
2/3/2018,53.45%
2/4/2018,50.13%
2/5/2018,46.33%
2/6/2018,46.06%
2/7/2018,44.30%
2/8/2018,44.57%
2/9/2018,44.14%
2/10/2018,44.86%
2/11/2018,44.96%
2/12/2018,42.43%
2/13/2018,42.99%
2/14/2018,44.60%
2/15/2018,46.31%
2/16/2018,44.61%
2/17/2018,47.43%
2/18/2018,47.47%
2/19/2018,49.08%
2/20/2018,46.63%
2/21/2018,45.92%
2/22/2018,43.62%
2/23/2018,47.38%
2/24/2018,49.96%
2/25/2018,50.18%
2/26/2018,41.38%
2/27/2018,47.02%
2/28/2018,46.93%
3/1/2018,49.41%
3/2/2018,48.40%
3/3/2018,50.10%
3/4/2018,51.00%
3/5/2018,49.12%
3/6/2018,48.58%
3/7/2018,47.68%
3/8/2018,48.09%
3/9/2018,47.72%
3/10/2018,50.45%
3/11/2018,49.21%
3/12/2018,47.09%
3/13/2018,48.39%
3/14/2018,48.09%
3/15/2018,42.88%
3/16/2018,43.65%
3/17/2018,47.61%
3/18/2018,50.90%
3/19/2018,41.22%
3/20/2018,42.67%
3/21/2018,46.93%
3/22/2018,46.74%
3/23/2018,46.94%
3/24/2018,46.44%
3/25/2018,48.51%
3/26/2018,43.69%
3/27/2018,40.71%
3/28/2018,40.94%
3/29/2018,40.98%
3/30/2018,43.51%
3/31/2018,47.21%
4/1/2018,47.48%
4/2/2018,42.01%
4/3/2018,46.21%
4/4/2018,44.83%
4/5/2018,44.38%
4/6/2018,43.50%
4/7/2018,47.64%
4/8/2018,51.80%
4/9/2018,45.67%
4/10/2018,44.48%
4/11/2018,43.49%
4/12/2018,43.84%
4/13/2018,46.75%
4/14/2018,50.40%
4/15/2018,50.84%
4/16/2018,46.41%
4/17/2018,48.38%
4/18/2018,44.97%
4/19/2018,46.11%
4/20/2018,45.16%
4/21/2018,47.10%
4/22/2018,47.46%
4/23/2018,44.50%
4/24/2018,43.52%
4/25/2018,47.03%
4/26/2018,43.50%
4/27/2018,45.52%
4/28/2018,47.71%
4/29/2018,49.67%
4/30/2018,42.25%
5/1/2018,44.30%
5/2/2018,44.32%
5/3/2018,43.87%
5/4/2018,46.51%
5/5/2018,51.30%
5/6/2018,46.94%
5/7/2018,44.34%
5/8/2018,45.05%
5/9/2018,43.92%
5/10/2018,39.79%
5/11/2018,45.71%
5/12/2018,50.59%
5/13/2018,48.62%
5/14/2018,42.97%
5/15/2018,44.42%
5/16/2018,46.17%
5/17/2018,43.73%
5/18/2018,40.57%
5/19/2018,46.70%
5/20/2018,47.82%
5/21/2018,42.09%
5/22/2018,40.09%
5/23/2018,41.46%
5/24/2018,43.15%
5/25/2018,42.91%
5/26/2018,50.42%
5/27/2018,47.65%
5/28/2018,49.24%
5/29/2018,42.74%
5/30/2018,43.55%
5/31/2018,42.83%
6/1/2018,40.60%
6/2/2018,44.10%
6/3/2018,42.20%
6/4/2018,41.63%
6/5/2018,39.56%
6/6/2018,41.83%
6/7/2018,41.93%
6/8/2018,43.59%
6/9/2018,46.92%
6/10/2018,46.61%
6/11/2018,41.70%
6/12/2018,37.74%
6/13/2018,40.03%
6/14/2018,39.48%
6/15/2018,40.32%
6/16/2018,43.83%
6/17/2018,42.27%
6/18/2018,38.73%
6/19/2018,41.43%
6/20/2018,40.95%
6/21/2018,41.97%
6/22/2018,41.39%
6/23/2018,43.78%
6/24/2018,43.36%
6/25/2018,43.35%
6/26/2018,43.03%
6/27/2018,40.41%
6/28/2018,41.51%
6/29/2018,38.24%
6/30/2018,43.72%
7/1/2018,44.94%
7/2/2018,41.19%
7/3/2018,43.27%
7/4/2018,48.14%
7/5/2018,44.09%
7/6/2018,40.26%
7/7/2018,46.08%
7/8/2018,45.65%
7/9/2018,38.92%
7/10/2018,39.15%
7/11/2018,39.96%
7/12/2018,42.76%
7/13/2018,38.59%
7/14/2018,42.93%
7/15/2018,43.80%
7/16/2018,36.23%
7/17/2018,38.31%
7/18/2018,40.82%
7/19/2018,40.94%
7/20/2018,39.98%
7/21/2018,44.93%
7/22/2018,44.12%
7/23/2018,39.73%
,45.11%
