# ----------------------------------------,
# 1 Master View,
# Audience Overview,
# 20180101-20180723,
# ----------------------------------------,
,
Day Index,Avg. Session Duration
1/1/2018,0:01:57
1/2/2018,0:02:22
1/3/2018,0:02:09
1/4/2018,0:01:57
1/5/2018,0:02:03
1/6/2018,0:01:53
1/7/2018,0:01:55
1/8/2018,0:02:09
1/9/2018,0:02:00
1/10/2018,0:01:58
1/11/2018,0:02:05
1/12/2018,0:01:54
1/13/2018,0:01:45
1/14/2018,0:01:51
1/15/2018,0:02:03
1/16/2018,0:02:05
1/17/2018,0:02:12
1/18/2018,0:02:05
1/19/2018,0:02:15
1/20/2018,0:02:07
1/21/2018,0:02:17
1/22/2018,0:02:18
1/23/2018,0:02:02
1/24/2018,0:02:41
1/25/2018,0:02:28
1/26/2018,0:02:22
1/27/2018,0:01:59
1/28/2018,0:02:17
1/29/2018,0:01:58
1/30/2018,0:02:18
1/31/2018,0:02:36
2/1/2018,0:02:19
2/2/2018,0:02:08
2/3/2018,0:02:01
2/4/2018,0:02:01
2/5/2018,0:02:00
2/6/2018,0:01:59
2/7/2018,0:02:12
2/8/2018,0:02:29
2/9/2018,0:02:24
2/10/2018,0:01:49
2/11/2018,0:01:59
2/12/2018,0:02:11
2/13/2018,0:02:02
2/14/2018,0:02:01
2/15/2018,0:02:18
2/16/2018,0:02:03
2/17/2018,0:01:44
2/18/2018,0:02:03
2/19/2018,0:01:53
2/20/2018,0:02:00
2/21/2018,0:02:00
2/22/2018,0:02:10
2/23/2018,0:02:03
2/24/2018,0:02:01
2/25/2018,0:01:43
2/26/2018,0:01:51
2/27/2018,0:02:08
2/28/2018,0:02:07
3/1/2018,0:01:55
3/2/2018,0:01:56
3/3/2018,0:01:56
3/4/2018,0:01:57
3/5/2018,0:02:00
3/6/2018,0:02:04
3/7/2018,0:02:10
3/8/2018,0:02:12
3/9/2018,0:01:58
3/10/2018,0:01:59
3/11/2018,0:02:11
3/12/2018,0:02:05
3/13/2018,0:02:10
3/14/2018,0:02:20
3/15/2018,0:02:11
3/16/2018,0:02:05
3/17/2018,0:02:13
3/18/2018,0:02:02
3/19/2018,0:02:16
3/20/2018,0:02:10
3/21/2018,0:02:12
3/22/2018,0:02:09
3/23/2018,0:02:05
3/24/2018,0:02:20
3/25/2018,0:02:00
3/26/2018,0:02:32
3/27/2018,0:02:40
3/28/2018,0:02:34
3/29/2018,0:02:25
3/30/2018,0:02:31
3/31/2018,0:02:14
4/1/2018,0:02:19
4/2/2018,0:02:29
4/3/2018,0:02:21
4/4/2018,0:02:29
4/5/2018,0:02:29
4/6/2018,0:02:21
4/7/2018,0:02:16
4/8/2018,0:01:57
4/9/2018,0:02:13
4/10/2018,0:02:25
4/11/2018,0:02:29
4/12/2018,0:02:39
4/13/2018,0:02:18
4/14/2018,0:02:06
4/15/2018,0:02:08
4/16/2018,0:02:03
4/17/2018,0:02:21
4/18/2018,0:02:23
4/19/2018,0:02:21
4/20/2018,0:02:33
4/21/2018,0:02:45
4/22/2018,0:02:33
4/23/2018,0:02:22
4/24/2018,0:02:34
4/25/2018,0:02:16
4/26/2018,0:02:24
4/27/2018,0:02:04
4/28/2018,0:02:22
4/29/2018,0:02:18
4/30/2018,0:02:49
5/1/2018,0:02:34
5/2/2018,0:02:22
5/3/2018,0:02:34
5/4/2018,0:02:28
5/5/2018,0:02:26
5/6/2018,0:02:38
5/7/2018,0:02:37
5/8/2018,0:02:30
5/9/2018,0:02:43
5/10/2018,0:02:42
5/11/2018,0:02:13
5/12/2018,0:02:11
5/13/2018,0:02:24
5/14/2018,0:02:25
5/15/2018,0:02:37
5/16/2018,0:02:23
5/17/2018,0:02:33
5/18/2018,0:02:58
5/19/2018,0:02:31
5/20/2018,0:02:19
5/21/2018,0:02:42
5/22/2018,0:03:17
5/23/2018,0:02:53
5/24/2018,0:02:40
5/25/2018,0:02:31
5/26/2018,0:02:21
5/27/2018,0:02:39
5/28/2018,0:02:33
5/29/2018,0:02:45
5/30/2018,0:02:56
5/31/2018,0:02:38
6/1/2018,0:02:50
6/2/2018,0:02:46
6/3/2018,0:02:44
6/4/2018,0:02:48
6/5/2018,0:02:46
6/6/2018,0:02:44
6/7/2018,0:03:10
6/8/2018,0:02:50
6/9/2018,0:02:38
6/10/2018,0:02:42
6/11/2018,0:02:26
6/12/2018,0:02:55
6/13/2018,0:02:27
6/14/2018,0:02:45
6/15/2018,0:02:42
6/16/2018,0:02:45
6/17/2018,0:02:39
6/18/2018,0:02:49
6/19/2018,0:02:38
6/20/2018,0:02:36
6/21/2018,0:02:33
6/22/2018,0:02:38
6/23/2018,0:02:26
6/24/2018,0:02:50
6/25/2018,0:02:37
6/26/2018,0:02:14
6/27/2018,0:02:55
6/28/2018,0:02:35
6/29/2018,0:02:49
6/30/2018,0:02:29
7/1/2018,0:02:31
7/2/2018,0:02:44
7/3/2018,0:02:28
7/4/2018,0:02:19
7/5/2018,0:02:16
7/6/2018,0:02:49
7/7/2018,0:02:40
7/8/2018,0:02:41
7/9/2018,0:02:44
7/10/2018,0:02:48
7/11/2018,0:02:45
7/12/2018,0:02:31
7/13/2018,0:02:51
7/14/2018,0:02:29
7/15/2018,0:02:44
7/16/2018,0:02:53
7/17/2018,0:02:46
7/18/2018,0:02:55
7/19/2018,0:02:50
7/20/2018,0:02:40
7/21/2018,0:02:31
7/22/2018,0:02:50
7/23/2018,0:02:56
,0:02:23
